Código de infração;Infração;Responsável;Valor da multa;Órgão Autuador;Artigos do CTB;Pontos;Gravidade
54870;Estacionar ao lado de outro veiculo em fila dupla;Condutor;195.23;Municipal/Rodoviario;181 * XI;5.0;Grave
55173;Estacionar nos tuneis;Condutor;195.23;Municipal/Rodoviario;181 * XIV;5.0;Grave
55330;Estacionar aclive/declive nao freado e sem calco seguranca, PBT (peso) superior a 3500kg;Condutor;195.23;Municipal/Rodoviario;181 * XVI;5.0;Grave
55172;Estacionar nas pontes;Condutor;195.23;Municipal/Rodoviario;181 * XIV;5.0;Grave
56142;Parar na pista de rolamento das Rodovias;Condutor;195.23;Municipal/Rodoviario;182 * V;5.0;Grave
54527;Estacionar ao lado ou sobre gramado ou jardim publico;Condutor;195.23;Municipal/Rodoviario;181 * VIII;5.0;Grave
76090;Organizar a conduta prevista no caput do art.253-A;PF ou PJ;17608.2;Municipal/Rodoviario;253-A, § 1º;7.0;Gravissima60X
54524;Estacionar nas ilhas ou refugios;Condutor;195.23;Municipal/Rodoviario;181 * VIII;5.0;Grave
54523;Estacionar sobre ciclovia ou ciclofaixa;Condutor;195.23;Municipal/Rodoviario;181 * VIII;5.0;Grave
54010;Estacionar afastado da guia da calcada (meio-fio) a mais de 1m;Condutor;195.23;Municipal/Rodoviario;181, III;5.0;Grave
54525;Estacionar ao lado ou sobre canteiro central/divisores de pista de rolamento;Condutor;195.23;Municipal/Rodoviario;181 * VIII;5.0;Grave
56141;Parar na pista de rolamento das estradas;Condutor;195.23;Municipal/Rodoviario;182 * V;5.0;Grave
53550;Fazer ou deixar que se faca reparo em veiculo, em Rodoviarioia e via de transito rapido;Condutor;195.23;Municipal/Rodoviario;179 * I;5.0;Grave
54526;Estacionar ao lado ou sobre marcas de canalizacao;Condutor;195.23;Municipal/Rodoviario;181 * VIII;5.0;Grave
54522;Estacionar sobre faixa destinada a pedestre;Condutor;195.23;Municipal/Rodoviario;181 * VIII;5.0;Grave
54950;Estacionar na area de cruzamento de vias;Condutor;195.23;Municipal/Rodoviario;181 * XII;5.0;Grave
55680;Estacionar local/horario de estacionamento e parada proibidos pela sinalizacao;Condutor;195.23;Municipal/Rodoviario;181 * XIX;5.0;Grave
55171;Estacionar nos viadutos;Condutor;195.23;Municipal/Rodoviario;181 * XIV;5.0;Grave
55414;Estacionar em desacordo com a regulamentacao - vaga de carga/descarga;Condutor;195.23;Municipal/Rodoviario;181 * XVII;5.0;Grave
54440;Estacionar nos acostamentos;Condutor;88.38;Municipal/Rodoviario;181 * VII;3.0;Leve
55411;Estacionar em desacordo com a regulamentacao especificada pela sinalizacao;Condutor;195.23;Municipal/Rodoviario;181 * XVII;5.0;Grave
55412;Estacionar em desacordo com a regulamentacao - estacionamento rotativo;Condutor;195.23;Municipal/Rodoviario;181 * XVII;5.0;Grave
55413;Estacionar em desacordo com a regulamentacao - ponto ou vaga de taxi;Condutor;195.23;Municipal/Rodoviario;181 * XVII;5.0;Grave
52070;Dirigir sem atencao ou sem os cuidados indispensaveis a seguranca;Condutor;88.38;Estadual/Municipal/Rodoviario;169;3.0;Leve
53630;Fazer ou deixar que se faca reparo em veiculos nas vias (quando nao Rodoviarioia/transito rapido);Condutor;88.38;Municipal/Rodoviario;179, II;3.0;Leve
53980;Estacionar afastado da guia da calcada (meio-fio) de 50cm a 1m;Condutor;88.38;Municipal/Rodoviario;181 * II;3.0;Leve
55417;Estacionar em desacordo com a regulamentacao - vaga de curta duracao;Condutor;195.23;Municipal/Rodoviario;181 * XVII;5.0;Grave
55840;Parar afastado da guia da calcada (meio-fio) de 50cm a 1m;Condutor;88.38;Municipal/Rodoviario;182 * II;3.0;Leve
56060;Parar em desacordo com as posicoes estabelecidas no CTB;Condutor;88.38;Municipal/Rodoviario;182 * IV;3.0;Leve
56221;Parar no passeio;Condutor;88.38;Municipal/Rodoviario;182 * VI;3.0;Leve
56222;Parar sobre faixa destinada a pedestres;Condutor;88.38;Municipal/Rodoviario;182 * VI;3.0;Leve
56223;Parar nas ilhas ou refugios;Condutor;88.38;Municipal/Rodoviario;182 * VI;3.0;Leve
56224;Parar nos canteiros centrais/divisores de pista de rolamento;Condutor;88.38;Municipal/Rodoviario;182 * VI;3.0;Leve
56225;Parar nas marcas de canalizacao;Condutor;88.38;Municipal/Rodoviario;182 * VI;3.0;Leve
56810;Transitar na faixa ou pista da direita regulamentada como de circulacao exclusiva para determinado tipo de veiculo;Condutor;88.38;Municipal/Rodoviario;184 * I;3.0;Leve
59830;Ultrapassar veiculo em movimento que integre cortejo/desfile/formacao militar;Condutor;83.06;Municipal/Rodoviario;205;3.0;Leve
64400;Fazer uso do facho de luz alta dos farois em vias providas de iluminacao publica;Condutor;88.38;Municipal/Rodoviario;224;3.0;Leve
64830;Usar buzina/buzinar que nao a de toque breve como advertencia a pedestre ou condutores;Condutor;88.38;Municipal/Rodoviario;227 * I;3.0;Leve
64910;Usar buzina/buzinar prolongada e sucessivamente a qualquer pretexto;Condutor;88.38;Municipal/Rodoviario;227 * II;3.0;Leve
65050;Usar buzina/buzinar entre as vinte e duas e as seis horas;Condutor;88.38;Municipal/Rodoviario;227 * III;3.0;Leve
65130;Usar buzina/buzinar em locais e horarios proibidos pela sinalizacao;Condutor;88.38;Municipal/Rodoviario;227 * IV;3.0;Leve
65210;Usar buzina/buzinar em desacordo com os padroes e frequencias estabelecidas pelo Contran;Proprietario;88.38;Municipal/Rodoviario;227 * V;3.0;Leve
69120;Conduzir veiculo sem os documentos de porte obrigatorio referidos no CTB;Condutor;88.38;Estadual/Rodoviario;232;3.0;Leve
70051;Deixar de atualizar o cadastro de registro do veiculo;Proprietario;88.38;Estadual;241;3.0;Leve
70052;Deixar de atualizar o cadastro de habilitacao do condutor;Condutor;88.38;Estadual;241;3.0;Leve
73901;E proibido ao pedestre cruzar pista de rolamento de viaduto exceto onde permitido;Pedestre;44.19;Municipal/Rodoviario;254 * II;3.0;Leve50%
73902;E proibido ao pedestre cruzar pista de rolamento de ponte exceto onde permitido;Pedestre;44.19;Municipal/Rodoviario;254 * II;3.0;Leve50%
73903;E proibido ao pedestre cruzar pista de rolamento de tuneis exceto onde permitido;Pedestre;44.19;Municipal/Rodoviario;254 * II;3.0;Leve50%
74040;E proibido ao pedestre atravessar via area cruzamento exceto onde permitido pela sinalizacao;Pedestre;44.19;Municipal/Rodoviario;254 * III;3.0;Leve50%
74120;E proibido pedestre utilizar via em agrupamento que perturbe transito/pratica esporte/desfile;Pedestre;44.19;Municipal/Rodoviario;254 * IV;3.0;Leve50%
74201;E proibido ao pedestre andar fora da faixa propria;Pedestre;44.19;Municipal/Rodoviario;254 * V;3.0;Leve50%
74202;E proibido ao pedestre andar fora da passarela;Pedestre;44.19;Municipal/Rodoviario;254 * V;3.0;Leve50%
74203;E proibido ao pedestre andar fora da passagem aerea;Pedestre;44.19;Municipal/Rodoviario;254 * V;3.0;Leve50%
74204;E proibido ao pedestre andar fora da passagem subterranea;Pedestre;44.19;Municipal/Rodoviario;254 * V;3.0;Leve50%
74390;E proibido ao pedestre desobedecer a sinalizacao de transito especifica;Pedestre;44.19;Municipal/Rodoviario;254 * VI;3.0;Leve50%
52231;Usar veiculo para arremessar sobre os pedestres agua ou detritos;Condutor;130.16;Municipal/Rodoviario;171;4.0;Media
52232;Usar veiculo para arremessar sobre os veiculos agua ou detritos;Condutor;130.16;Municipal/Rodoviario;171;4.0;Media
51851;Deixar o condutor de usar o cinto seguranca;Condutor;195.23;Estadual/Municipal/Rodoviario;167;5.0;Grave
52312;Abandonar na via objetos ou substancias;Condutor;130.16;Municipal/Rodoviario;172;4.0;Media
51852;Deixar o passageiro de usar o cinto seguranca;Condutor;195.23;Estadual/Municipal/Rodoviario;167;5.0;Grave
53470;Deixar o condutor envolvido em acidente sem vitima, de remover o veiculo do local;Condutor;130.16;Municipal/Rodoviario;178;4.0;Media
53710;Ter seu veiculo imobilizado na via por falta de combustivel;Condutor;130.16;Municipal/Rodoviario;180;4.0;Media
53800;Estacionar nas esquinas e a menos de 5m do alinhamento da via transversal;Condutor;130.16;Municipal/Rodoviario;181 * I;4.0;Media
54100;Estacionar em desacordo com as posicoes estabelecidas no CTB;Condutor;130.16;Municipal/Rodoviario;181 * IV;4.0;Media
54360;Estacionar junto/sobre hidrante de incendio, registro de agua/tampa de poco visita galerias subterraneas;Condutor;130.16;Municipal/Rodoviario;181, VI;4.0;Media
54600;Estacionar em guia de calcada rebaixada destinada a entrada/saida de veiculos;Condutor;130.16;Municipal/Rodoviario;181 * IX;4.0;Media
54790;Estacionar impedindo a movimentacao de outro veiculo;Condutor;130.16;Municipal/Rodoviario;181 * X;4.0;Media
53390;Deixar o condutor de prestar socorro a vitima de acidente de transito quando solicitado pela autoridade e seus agentes;Condutor;195.23;Estadual/Municipal/Rodoviario;177;5.0;Grave
54521;Estacionar no passeio;Condutor;195.23;Municipal/Rodoviario;181 * VIII;5.0;Grave
55500;Estacionar em local/horario proibido especificamente pela sinalizacao;Condutor;130.16;Municipal/Rodoviario;181 * XVIII;4.0;Media
55760;Parar nas esquinas e a menos 5m do bordo do alinhamento da via transversal;Condutor;130.16;Municipal/Rodoviario;182 * I;4.0;Media
55920;Parar afastado da guia da calcada (meio-fio) a mais de 1m;Condutor;130.16;Municipal/Rodoviario;182 * III;4.0;Media
56300;Parar na area de cruzamento de vias;Condutor;130.16;Municipal/Rodoviario;182 * VII;4.0;Media
56491;Parar nos viadutos;Condutor;130.16;Municipal/Rodoviario;182 * VIII;4.0;Media
56492;Parar nas pontes;Condutor;130.16;Municipal/Rodoviario;182 * VIII;4.0;Media
56493;Parar nos tuneis;Condutor;130.16;Municipal/Rodoviario;182 * VIII;4.0;Media
56570;Parar na contramao de direcao;Condutor;130.16;Municipal/Rodoviario;182 * IX;4.0;Media
56650;Parar em local/horario proibidos especificamente pela sinalizacao;Condutor;130.16;Municipal/Rodoviario;182 * X;4.0;Media
56731;Parar sobre faixa de pedestres na mudanca de sinal luminoso;Condutor;130.16;Municipal/Rodoviario;183;4.0;Media
56732;Parar sobre faixa de pedestres na mudanca de sinal luminoso (fiscalizacao eletronica);Condutor;130.16;Municipal/Rodoviario;183;4.0;Media
57030;Deixar de conservar o veiculo na faixa a ele destinada pela sinalizacao de regulamentacao;Condutor;130.16;Municipal/Rodoviario;185 * I;4.0;Media
57110;Deixar de conservar nas faixas da direita o veiculo lento e de maior porte;Condutor;130.16;Municipal/Rodoviario;185 * II;4.0;Media
57461;Transitar em local/horario nao permitido pela regulamentacao estabelecida pela autoridade;Condutor;130.16;Municipal/Rodoviario;187 * I;4.0;Media
57462;Transitar em local/horario nao permitido pela regulamentacao - rodizio;Condutor;130.16;Municipal/Rodoviario;187 * I;4.0;Media
57463;Transitar em local/horario nao permitido pela regulamentacao - caminhao;Condutor;130.16;Municipal/Rodoviario;187 * I;4.0;Media
57620;Transitar ao lado de outro veiculo, interrompendo ou perturbando o transito;Condutor;130.16;Municipal/Rodoviario;188;4.0;Media
58511;Deixar de deslocar com antecedencia veiculo para faixa mais a esquerda quando for manobrar;Condutor;130.16;Municipal/Rodoviario;197;4.0;Media
